,roles,companies,locations,experience,skills,skill index
1689,Data Scientist,Whatfix,"'Gurgaon', 'Bangalore'",1-3 ,"['_', 'computer science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1690,Data Scientist and Director Data Scientist,OyoRooms,"'Hyderabad', ' Gurgaon', ' Bangalore', 'Delhi'",2-7 ,"['_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1691,Data Scientist | Market Analytics | Remote,Vision Beyond Resources India Private Limited,"'Kolkata', ' Hyderabad', ' Pune', ' Gurgaon', ' Chennai', ' Bangalore', 'Mumbai'",3-7 ,"['_', '_', '_', 'python', '_', 'r', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1692,Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd.,'Bangalore',1-6 ,"['_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1693,Sr. Data Scientist,Easy Recruit,'Bangalore',8-11 ,"['_', '_', '_', 'machine learning', '_', '_', '_', 'data science', '_', 'r', '_', '_', '_', 'artificial intelligence', '_', '_', '_']",-1.0
1694,Senior Data Scientist / Tech Lead - SQL / Python / Big Data,Exploro Solutions,"'Pune', ' Chennai', 'Bangalore'",5-10 ,"['_', 'it skills', '_', 'python', '_', 'data science', '_', 'machine learning', '_', 'big data', '_', 'r', '_', '_', '_', 'data scientist', '_']",-1.0
1695,Senior Data Scientist/Tech Lead - SQL/Python/Big Data,Exploro Solutions,"'Pune', ' Chennai', 'Bangalore'",5-10 ,"['_', 'data science', '_', 'r', '_', '_', '_', 'artificial intelligence', '_', 'big data', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
1696,Data Scientist / Sr Data Scientist,Connexions,'Gurgaon',2-6 ,"['_', '_', '_', 'r', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
1697,Data Scientist / Machine Learning Engineer,PubMatic,'NewDelhi',3-7 ,"['_', 'computer science', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
1698,Data Scientist,Tiger Analytics India LLP,"'Kolkata', ' Hyderabad', ' Pune', ' Ahmedabad', ' Chennai', ' Bangalore', 'Delhi'",4-9 ,"['_', 'data science', '_', 'r', '_', 'artificial intelligence', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', 'python', '_']",-1.0
